"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"18p";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C2";"18p";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C3";"";"CAP_POLG";"PANASONIC_G";"Capacitor Polarized";"";"";
"C4";"";"CAP_POLE";"PANASONIC_E";"Capacitor Polarized";"";"";
"C5";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C6";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C7";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C8";"4.7nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"D1";"";"DIODESMA-ALT";"SMA-DIODE_ALT";"Diode";"";"";
"IC1";"MCP2515-E/SO";"MCP2515-E/SO";"SO18L";"";"";"";
"IC2";"MCP2562";"MCP2562";"SO08";"CAN transceiver";"";"";
"IC3";"LM2595NDH";"LM2595NDH";"TO263-5";"";"";"";
"IC4";"PESD1CAN";"PESD1CAN";"SOT23";"";"";"";
"L1";"MSS1260";"MSS1260";"MSS1260";"";"";"";
"R1";"60";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R2";"60";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"S1";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"SJ1";"SOLDERJUMPERNC2";"SOLDERJUMPERNC2";"SJ_2S-NOTRACE";"Solder Jumper";"";"";
"SJ2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";
"SJ3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";
"U$1";"ARDUINO_R3_ICSP";"ARDUINO_R3_ICSP";"ARDUINOR3_ICSP";"";"";"";
"U$2";"RJ45-8PTH";"RJ45-8PTH";"RJ45-8";"RJ45 Jack";"";"";
"U$3";"RJ45-8PTH";"RJ45-8PTH";"RJ45-8";"RJ45 Jack";"";"";
"Y1";"";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";
